Year,installations,operational_stock
1993,10492,86908
1994,13352,98260
1995,17630,113890
1996,16770,121930
1997,21446,132788
1998,18730,140932
1999,25672,159918
2000,25972,179760
2001,21626,194514
2002,19910,207030
2003,25386,224780
2004,46772,263758
2005,66642,319908
2006,52681,359237
2007,56449,398056
2008,47792,429078
2009,24343,431975
2010,46617,459862
2011,59960,494150
2012,67086,535264
2013,70103,583741
2014,81549,645380
2015,84625,704585
2016,96990,754797
2017,102117,790247
2018,117422,855019
2019,96653,895204
2020,85606,933009
2021,95262,1003939
